Kg_Fuel;Inner Tank LH X-arm;Inner Tank LH Y-arm;Moment_X_ILH;Moment_Y_ILH;Inner Tank RH X-arm;Inner Tank RH Y-arm;Moment_X_IRH;Moment_Y_IRH
13175;30,68666125;;404296,762;;30,68666125;;404296,762;
13180;30,6868248;;404452,3509;;30,6868248;;404452,3509;
13185;30,68698845;;404607,9427;;30,68698845;;404607,9427;
13190;30,6871522;;404763,5375;;30,6871522;;404763,5375;
13195;30,68731605;;404919,1353;;30,68731605;;404919,1353;
13200;30,68748;;405074,736;;30,68748;;405074,736;
13205;30,68764405;;405230,3397;;30,68764405;;405230,3397;
13210;30,6878082;;405385,9463;;30,6878082;;405385,9463;
13215;30,68797245;;405541,5559;;30,68797245;;405541,5559;
13220;30,6881368;;405697,1685;;30,6881368;;405697,1685;
13225;30,68830125;;405852,784;;30,68830125;;405852,784;
13230;30,6884658;;406008,4025;;30,6884658;;406008,4025;
13235;30,68863045;;406164,024;;30,68863045;;406164,024;
13240;30,6887952;;406319,6484;;30,6887952;;406319,6484;
13245;30,68896005;;406475,2759;;30,68896005;;406475,2759;
13250;30,689125;;406630,9063;;30,689125;;406630,9063;
13255;30,68929005;;406786,5396;;30,68929005;;406786,5396;
13260;30,6894552;;406942,176;;30,6894552;;406942,176;
13265;30,68962045;;407097,8153;;30,68962045;;407097,8153;
13270;30,6897858;;407253,4576;;30,6897858;;407253,4576;
13275;30,68995125;;407409,1028;;30,68995125;;407409,1028;
13280;30,6901168;;407564,7511;;30,6901168;;407564,7511;
13285;30,69028245;;407720,4023;;30,69028245;;407720,4023;
13290;30,6904482;;407876,0566;;30,6904482;;407876,0566;
13295;30,69061405;;408031,7138;;30,69061405;;408031,7138;
13300;30,69078;;408187,374;;30,69078;;408187,374;
13305;30,69094605;;408343,0372;;30,69094605;;408343,0372;
13310;30,6911122;;408498,7034;;30,6911122;;408498,7034;
13315;30,69127845;;408654,3726;;30,69127845;;408654,3726;
13320;30,6914448;;408810,0447;;30,6914448;;408810,0447;
13325;30,69161125;;408965,7199;;30,69161125;;408965,7199;
13330;30,6917778;;409121,3981;;30,6917778;;409121,3981;
13335;30,69194445;;409277,0792;;30,69194445;;409277,0792;
13340;30,6921112;;409432,7634;;30,6921112;;409432,7634;
13345;30,69227805;;409588,4506;;30,69227805;;409588,4506;
13350;30,692445;;409744,1408;;30,692445;;409744,1408;
13355;30,69261205;;409899,8339;;30,69261205;;409899,8339;
13360;30,6927792;;410055,5301;;30,6927792;;410055,5301;
13365;30,69294645;;410211,2293;;30,69294645;;410211,2293;
13370;30,6931138;;410366,9315;;30,6931138;;410366,9315;
13375;30,69328125;;410522,6367;;30,69328125;;410522,6367;
13380;30,6934488;;410678,3449;;30,6934488;;410678,3449;
13385;30,69361645;;410834,0562;;30,69361645;;410834,0562;
13390;30,6937842;;410989,7704;;30,6937842;;410989,7704;
13395;30,69395205;;411145,4877;;30,69395205;;411145,4877;
13400;30,69412;;411301,208;;30,69412;;411301,208;
13405;30,69428805;;411456,9313;;30,69428805;;411456,9313;
13410;30,6944562;;411612,6576;;30,6944562;;411612,6576;
13415;30,69462445;;411768,387;;30,69462445;;411768,387;
13420;30,6947928;;411924,1194;;30,6947928;;411924,1194;
13425;30,69496125;;412079,8548;;30,69496125;;412079,8548;
13430;30,6951298;;412235,5932;;30,6951298;;412235,5932;
13435;30,69529845;;412391,3347;;30,69529845;;412391,3347;
13440;30,6954672;;412547,0792;;30,6954672;;412547,0792;
13445;30,69563605;;412702,8267;;30,69563605;;412702,8267;
13450;30,695805;;412858,5773;;30,695805;;412858,5773;
13455;30,69597405;;413014,3308;;30,69597405;;413014,3308;
13460;30,6961432;;413170,0875;;30,6961432;;413170,0875;
13465;30,69631245;;413325,8471;;30,69631245;;413325,8471;
13470;30,6964818;;413481,6098;;30,6964818;;413481,6098;
13475;30,69665125;;413637,3756;;30,69665125;;413637,3756;
13480;30,6968208;;413793,1444;;30,6968208;;413793,1444;
13485;30,69699045;;413948,9162;;30,69699045;;413948,9162;
13490;30,6971602;;414104,6911;;30,6971602;;414104,6911;
13495;30,69733005;;414260,469;;30,69733005;;414260,469;
13500;30,6975;;414416,25;;30,6975;;414416,25;
13505;30,69767005;;414572,034;;30,69767005;;414572,034;
13510;30,6978402;;414727,8211;;30,6978402;;414727,8211;
13515;30,69801045;;414883,6112;;30,69801045;;414883,6112;
13520;30,6981808;;415039,4044;;30,6981808;;415039,4044;
13525;30,69835125;;415195,2007;;30,69835125;;415195,2007;
13530;30,6985218;;415351;;30,6985218;;415351;
13535;30,69869245;;415506,8023;;30,69869245;;415506,8023;
13540;30,6988632;;415662,6077;;30,6988632;;415662,6077;
13545;30,69903405;;415818,4162;;30,69903405;;415818,4162;
13550;30,699205;;415974,2278;;30,699205;;415974,2278;
13555;30,69937605;;416130,0424;;30,69937605;;416130,0424;
13560;30,6995472;;416285,86;;30,6995472;;416285,86;
13565;30,69971845;;416441,6808;;30,69971845;;416441,6808;
13570;30,6998898;;416597,5046;;30,6998898;;416597,5046;
13575;30,70006125;;416753,3315;;30,70006125;;416753,3315;
13580;30,7002328;;416909,1614;;30,7002328;;416909,1614;
13585;30,70040445;;417064,9945;;30,70040445;;417064,9945;
13590;30,7005762;;417220,8306;;30,7005762;;417220,8306;
13595;30,70074805;;417376,6697;;30,70074805;;417376,6697;
13600;30,70092;;417532,512;;30,70092;;417532,512;
13605;30,70109205;;417688,3573;;30,70109205;;417688,3573;
13610;30,7012642;;417844,2058;;30,7012642;;417844,2058;
13615;30,70143645;;418000,0573;;30,70143645;;418000,0573;
13620;30,7016088;;418155,9119;;30,7016088;;418155,9119;
13625;30,70178125;;418311,7695;;30,70178125;;418311,7695;
13630;30,7019538;;418467,6303;;30,7019538;;418467,6303;
13635;30,70212645;;418623,4941;;30,70212645;;418623,4941;
13640;30,7022992;;418779,3611;;30,7022992;;418779,3611;
13645;30,70247205;;418935,2311;;30,70247205;;418935,2311;
13650;30,702645;;419091,1043;;30,702645;;419091,1043;
13655;30,70281805;;419246,9805;;30,70281805;;419246,9805;
13660;30,7029912;;419402,8598;;30,7029912;;419402,8598;
13665;30,70316445;;419558,7422;;30,70316445;;419558,7422;
13670;30,7033378;;419714,6277;;30,7033378;;419714,6277;
13675;30,70351125;;419870,5163;;30,70351125;;419870,5163;
13680;30,7036848;;420026,4081;;30,7036848;;420026,4081;
13685;30,70385845;;420182,3029;;30,70385845;;420182,3029;
13690;30,7040322;;420338,2008;;30,7040322;;420338,2008;
13695;30,70420605;;420494,1019;;30,70420605;;420494,1019;
13700;30,70438;;420650,006;;30,70438;;420650,006;
13705;30,70455405;;420805,9133;;30,70455405;;420805,9133;
13710;30,7047282;;420961,8236;;30,7047282;;420961,8236;
13715;30,70490245;;421117,7371;;30,70490245;;421117,7371;
13720;30,7050768;;421273,6537;;30,7050768;;421273,6537;
13725;30,70525125;;421429,5734;;30,70525125;;421429,5734;
13730;30,7054258;;421585,4962;;30,7054258;;421585,4962;
13735;30,70560045;;421741,4222;;30,70560045;;421741,4222;
13740;30,7057752;;421897,3512;;30,7057752;;421897,3512;
13745;30,70595005;;422053,2834;;30,70595005;;422053,2834;
13750;30,706125;;422209,2188;;30,706125;;422209,2188;
13755;30,70630005;;422365,1572;;30,70630005;;422365,1572;
13760;30,7064752;;422521,0988;;30,7064752;;422521,0988;
13765;30,70665045;;422677,0434;;30,70665045;;422677,0434;
13770;30,7068258;;422832,9913;;30,7068258;;422832,9913;
13775;30,70700125;;422988,9422;;30,70700125;;422988,9422;
13780;30,7071768;;423144,8963;;30,7071768;;423144,8963;
13785;30,70735245;;423300,8535;;30,70735245;;423300,8535;
13790;30,7075282;;423456,8139;;30,7075282;;423456,8139;
13795;30,70770405;;423612,7774;;30,70770405;;423612,7774;
13800;30,70788;;423768,744;;30,70788;;423768,744;
13805;30,70805605;;423924,7138;;30,70805605;;423924,7138;
13810;30,7082322;;424080,6867;;30,7082322;;424080,6867;
13815;30,70840845;;424236,6627;;30,70840845;;424236,6627;
13820;30,7085848;;424392,6419;;30,7085848;;424392,6419;
13825;30,70876125;;424548,6243;;30,70876125;;424548,6243;
13830;30,7089378;;424704,6098;;30,7089378;;424704,6098;
13835;30,70911445;;424860,5984;;30,70911445;;424860,5984;
13840;30,7092912;;425016,5902;;30,7092912;;425016,5902;
13845;30,70946805;;425172,5852;;30,70946805;;425172,5852;
13850;30,709645;;425328,5833;;30,709645;;425328,5833;
13855;30,70982205;;425484,5845;;30,70982205;;425484,5845;
13860;30,7099992;;425640,5889;;30,7099992;;425640,5889;
13865;30,71017645;;425796,5965;;30,71017645;;425796,5965;
13870;30,7103538;;425952,6072;;30,7103538;;425952,6072;
13875;30,71053125;;426108,6211;;30,71053125;;426108,6211;
13880;30,7107088;;426264,6381;;30,7107088;;426264,6381;
13885;30,71088645;;426420,6584;;30,71088645;;426420,6584;
13890;30,7110642;;426576,6817;;30,7110642;;426576,6817;
13895;30,71124205;;426732,7083;;30,71124205;;426732,7083;
13900;30,71142;;426888,738;;30,71142;;426888,738;
13905;30,71159805;;427044,7709;;30,71159805;;427044,7709;
13910;30,7117762;;427200,8069;;30,7117762;;427200,8069;
13915;30,71195445;;427356,8462;;30,71195445;;427356,8462;
13920;30,7121328;;427512,8886;;30,7121328;;427512,8886;
13925;30,71231125;;427668,9342;;30,71231125;;427668,9342;
13930;30,7124898;;427824,9829;;30,7124898;;427824,9829;
13935;30,71266845;;427981,0349;;30,71266845;;427981,0349;
13940;30,7128472;;428137,09;;30,7128472;;428137,09;
13945;30,71302605;;428293,1483;;30,71302605;;428293,1483;
13950;30,713205;;428449,2098;;30,713205;;428449,2098;
13955;30,71338405;;428605,2744;;30,71338405;;428605,2744;
13960;30,7135632;;428761,3423;;30,7135632;;428761,3423;
13965;30,71374245;;428917,4133;;30,71374245;;428917,4133;
13970;30,7139218;;429073,4875;;30,7139218;;429073,4875;
13975;30,71410125;;429229,565;;30,71410125;;429229,565;
13980;30,7142808;;429385,6456;;30,7142808;;429385,6456;
13985;30,71446045;;429541,7294;;30,71446045;;429541,7294;
13990;30,7146402;;429697,8164;;30,7146402;;429697,8164;
13995;30,71482005;;429853,9066;;30,71482005;;429853,9066;
14000;30,715;;430010;;30,715;;430010;
14005;30,71518005;;430166,0966;;30,71518005;;430166,0966;
14010;30,7153602;;430322,1964;;30,7153602;;430322,1964;
14015;30,71554045;;430478,2994;;30,71554045;;430478,2994;
14020;30,7157208;;430634,4056;;30,7157208;;430634,4056;
14025;30,71590125;;430790,515;;30,71590125;;430790,515;
14030;30,7160818;;430946,6277;;30,7160818;;430946,6277;
14035;30,71626245;;431102,7435;;30,71626245;;431102,7435;
14040;30,7164432;;431258,8625;;30,7164432;;431258,8625;
14045;30,71662405;;431414,9848;;30,71662405;;431414,9848;
14050;30,716805;;431571,1103;;30,716805;;431571,1103;
14055;30,71698605;;431727,2389;;30,71698605;;431727,2389;
14060;30,7171672;;431883,3708;;30,7171672;;431883,3708;
14065;30,71734845;;432039,5059;;30,71734845;;432039,5059;
14070;30,7175298;;432195,6443;;30,7175298;;432195,6443;
14075;30,71771125;;432351,7858;;30,71771125;;432351,7858;
14080;30,7178928;;432507,9306;;30,7178928;;432507,9306;
14085;30,71807445;;432664,0786;;30,71807445;;432664,0786;
14090;30,7182562;;432820,2299;;30,7182562;;432820,2299;
14095;30,71843805;;432976,3843;;30,71843805;;432976,3843;
14100;30,71862;;433132,542;;30,71862;;433132,542;
14105;30,71880205;;433288,7029;;30,71880205;;433288,7029;
14110;30,7189842;;433444,8671;;30,7189842;;433444,8671;
14115;30,71916645;;433601,0344;;30,71916645;;433601,0344;
14120;30,7193488;;433757,2051;;30,7193488;;433757,2051;
14125;30,71953125;;433913,3789;;30,71953125;;433913,3789;
14130;30,7197138;;434069,556;;30,7197138;;434069,556;
14135;30,71989645;;434225,7363;;30,71989645;;434225,7363;
14140;30,7200792;;434381,9199;;30,7200792;;434381,9199;
14145;30,72026205;;434538,1067;;30,72026205;;434538,1067;
14150;30,720445;;434694,2968;;30,720445;;434694,2968;
14155;30,72062805;;434850,49;;30,72062805;;434850,49;
14160;30,7208112;;435006,6866;;30,7208112;;435006,6866;
14165;30,72099445;;435162,8864;;30,72099445;;435162,8864;
14170;30,7211778;;435319,0894;;30,7211778;;435319,0894;
14175;30,72136125;;435475,2957;;30,72136125;;435475,2957;
14180;30,7215448;;435631,5053;;30,7215448;;435631,5053;
14185;30,72172845;;435787,7181;;30,72172845;;435787,7181;
14190;30,7219122;;435943,9341;;30,7219122;;435943,9341;
14195;30,72209605;;436100,1534;;30,72209605;;436100,1534;
14200;30,72228;;436256,376;;30,72228;;436256,376;
14205;30,72246405;;436412,6018;;30,72246405;;436412,6018;
14210;30,7226482;;436568,8309;;30,7226482;;436568,8309;
14215;30,72283245;;436725,0633;;30,72283245;;436725,0633;
14220;30,7230168;;436881,2989;;30,7230168;;436881,2989;
14225;30,72320125;;437037,5378;;30,72320125;;437037,5378;
