Kg_Fuel;Outer Tank LH X-arm;Outer Tank LH Y-arm;Moment_X_OLH;Moment_Y_OLH;Outer Tank RH X-arm;Outer Tank RH Y-arm;Moment_X_ORH;Moment_Y_ORH
1500;37,90350947;-18,84945775;56855,26421;-28274,18663;37,90350947;18,84945775;56855,26421;28274,18663
1525;37,91392133;-18,86837942;57818,73003;-28774,27861;37,91392133;18,86837942;57818,73003;28774,27861
1550;37,92439919;-18,88745771;58782,81874;-29275,55944;37,92439919;18,88745771;58782,81874;29275,55944
1575;37,93494305;-18,90669262;59747,5353;-29778,04088;37,93494305;18,90669262;59747,5353;29778,04088
1600;37,9455529;-18,92608416;60712,88465;-30281,73466;37,9455529;18,92608416;60712,88465;30281,73466
1625;37,95622876;-18,94563233;61678,87174;-30786,65253;37,95622876;18,94563233;61678,87174;30786,65253
1650;37,96697062;-18,96533712;62645,50152;-31292,80624;37,96697062;18,96533712;62645,50152;31292,80624
1675;37,97777848;-18,98519853;63612,77895;-31800,20754;37,97777848;18,98519853;63612,77895;31800,20754
1700;37,98865233;-19,00521657;64580,70897;-32308,86817;37,98865233;19,00521657;64580,70897;32308,86817
1725;37,99959219;-19,02539124;65549,29653;-32818,79988;37,99959219;19,02539124;65549,29653;32818,79988
1750;38,01059805;-19,04572253;66518,54659;-33330,01442;38,01059805;19,04572253;66518,54659;33330,01442
1775;38,02166991;-19,06621044;67488,46408;-33842,52353;38,02166991;19,06621044;67488,46408;33842,52353
1800;38,03280776;-19,08685498;68459,05398;-34356,33896;38,03280776;19,08685498;68459,05398;34356,33896
1825;38,04401162;-19,10765615;69430,32121;-34871,47247;38,04401162;19,10765615;69430,32121;34871,47247
1850;38,05528148;-19,12861394;70402,27074;-35387,93578;38,05528148;19,12861394;70402,27074;35387,93578
1875;38,06661734;-19,14972835;71374,90751;-35905,74066;38,06661734;19,14972835;71374,90751;35905,74066
1900;38,07801919;-19,17099939;72348,23647;-36424,89884;38,07801919;19,17099939;72348,23647;36424,89884
1925;38,08948705;-19,19242706;73322,26257;-36945,42208;38,08948705;19,19242706;73322,26257;36945,42208
1950;38,10102091;-19,21401135;74296,99077;-37467,32212;38,10102091;19,21401135;74296,99077;37467,32212
1975;38,11262077;-19,23575226;75272,42601;-37990,61071;38,11262077;19,23575226;75272,42601;37990,61071
2000;38,12428662;-19,2576498;76248,57325;-38515,2996;38,12428662;19,2576498;76248,57325;38515,2996
2025;38,13601848;-19,27970397;77225,43743;-39041,40053;38,13601848;19,27970397;77225,43743;39041,40053
2050;38,14781634;-19,30191476;78203,0235;-39568,92525;38,14781634;19,30191476;78203,0235;39568,92525
2075;38,1596802;-19,32428217;79181,33641;-40097,8855;38,1596802;19,32428217;79181,33641;40097,8855
2100;38,17161005;-19,34680621;80160,38111;-40628,29304;38,17161005;19,34680621;80160,38111;40628,29304
2125;38,18360591;-19,36948688;81140,16256;-41160,15961;38,18360591;19,36948688;81140,16256;41160,15961
2150;38,19566777;-19,39232417;82120,6857;-41693,49696;38,19566777;19,39232417;82120,6857;41693,49696
2175;38,20779563;-19,41531808;83101,95549;-42228,31682;38,20779563;19,41531808;83101,95549;42228,31682
2200;38,21998948;-19,43846862;84083,97687;-42764,63096;38,21998948;19,43846862;84083,97687;42764,63096
2225;38,23224934;-19,46177579;85066,75479;-43302,45112;38,23224934;19,46177579;85066,75479;43302,45112
2250;38,2445752;-19,48523958;86050,2942;-43841,78904;38,2445752;19,48523958;86050,2942;43841,78904
2275;38,25696706;-19,50885999;87034,60005;-44382,65648;38,25696706;19,50885999;87034,60005;44382,65648
2300;38,26942491;-19,53263703;88019,6773;-44925,06517;38,26942491;19,53263703;88019,6773;44925,06517
2325;38,28194877;-19,5565707;89005,53089;-45469,02687;38,28194877;19,5565707;89005,53089;45469,02687
2350;38,29453863;-19,58066099;89992,16578;-46014,55332;38,29453863;19,58066099;89992,16578;46014,55332
2375;38,30719449;-19,6049079;90979,58691;-46561,65626;38,30719449;19,6049079;90979,58691;46561,65626
2400;38,31991634;-19,62931144;91967,79923;-47110,34746;38,31991634;19,62931144;91967,79923;47110,34746
2425;38,3327042;-19,65387161;92956,80769;-47660,63864;38,3327042;19,65387161;92956,80769;47660,63864
2450;38,34555806;-19,6785884;93946,61725;-48212,54157;38,34555806;19,6785884;93946,61725;48212,54157
2475;38,35847792;-19,70346181;94937,23284;-48766,06798;38,35847792;19,70346181;94937,23284;48766,06798
