Fuel_kg;Outer Tank LH;Inner Tank LH;Central Tank;Inner Tank RH;Outer Tank RH;Trim Tank;MOMENT-X;MOMENT-Y;CG;%MAC
13800,0;2400,0;4500,0;0,0;4500,0;2400,0;0,0;458750,5;0,0;33,2;26,2
13850,0;2425,0;4500,0;0,0;4500,0;2425,0;0,0;460728,5;0,0;33,3;26,5
13900,0;2450,0;4500,0;0,0;4500,0;2450,0;0,0;462708,1;0,0;33,3;26,8
13950,0;2475,0;4500,0;0,0;4500,0;2475,0;0,0;464689,4;0,0;33,3;27,1
14000,0;2500,0;4500,0;0,0;4500,0;2500,0;0,0;466672,2;0,0;33,3;27,5
14050,0;2525,0;4500,0;0,0;4500,0;2525,0;0,0;468656,7;0,0;33,4;27,8
14100,0;2550,0;4500,0;0,0;4500,0;2550,0;0,0;470642,8;0,0;33,4;28,1
14150,0;2575,0;4500,0;0,0;4500,0;2575,0;0,0;472630,6;0,0;33,4;28,4
14200,0;2600,0;4500,0;0,0;4500,0;2600,0;0,0;474620,0;0,0;33,4;28,7
14250,0;2625,0;4500,0;0,0;4500,0;2625,0;0,0;476611,1;0,0;33,4;29,0
14300,0;2650,0;4500,0;0,0;4500,0;2650,0;0,0;478603,9;0,0;33,5;29,3
14350,0;2675,0;4500,0;0,0;4500,0;2675,0;0,0;480598,4;0,0;33,5;29,6
14400,0;2700,0;4500,0;0,0;4500,0;2700,0;0,0;482594,6;0,0;33,5;29,9
14450,0;2725,0;4500,0;0,0;4500,0;2725,0;0,0;484592,5;0,0;33,5;30,2
14500,0;2750,0;4500,0;0,0;4500,0;2750,0;0,0;486592,1;0,0;33,6;30,5
14550,0;2775,0;4500,0;0,0;4500,0;2775,0;0,0;488593,5;0,0;33,6;30,8
14600,0;2800,0;4500,0;0,0;4500,0;2800,0;0,0;490596,6;0,0;33,6;31,1
14650,0;2825,0;4500,0;0,0;4500,0;2825,0;0,0;492601,4;0,0;33,6;31,5
14700,0;2850,0;4500,0;0,0;4500,0;2850,0;0,0;494608,0;0,0;33,6;31,8
14750,0;2850,0;4525,0;0,0;4525,0;2850,0;0,0;496139,1;0,0;33,6;31,6
14800,0;2850,0;4550,0;0,0;4550,0;2850,0;0,0;497670,2;0,0;33,6;31,5
14850,0;2850,0;4575,0;0,0;4575,0;2850,0;0,0;499201,4;0,0;33,6;31,3
14900,0;2850,0;4600,0;0,0;4600,0;2850,0;0,0;500732,6;0,0;33,6;31,2
14950,0;2850,0;4625,0;0,0;4625,0;2850,0;0,0;502263,8;0,0;33,6;31,1
15000,0;2850,0;4650,0;0,0;4650,0;2850,0;0,0;503795,2;0,0;33,6;30,9
15050,0;2850,0;4675,0;0,0;4675,0;2850,0;0,0;505326,5;0,0;33,6;30,8
15100,0;2850,0;4700,0;0,0;4700,0;2850,0;0,0;506857,9;0,0;33,6;30,7
15150,0;2850,0;4725,0;0,0;4725,0;2850,0;0,0;508390,3;0,0;33,6;30,5
15200,0;2850,0;4750,0;0,0;4750,0;2850,0;0,0;509923,3;0,0;33,5;30,4
15250,0;2850,0;4775,0;0,0;4775,0;2850,0;0,0;511456,4;0,0;33,5;30,3
15300,0;2850,0;4800,0;0,0;4800,0;2850,0;0,0;512989,5;0,0;33,5;30,1
15350,0;2850,0;4825,0;0,0;4825,0;2850,0;0,0;514522,7;0,0;33,5;30,0
15400,0;2850,0;4850,0;0,0;4850,0;2850,0;0,0;516056,0;0,0;33,5;29,9
15450,0;2850,0;4875,0;0,0;4875,0;2850,0;0,0;517589,4;0,0;33,5;29,8
15500,0;2850,0;4900,0;0,0;4900,0;2850,0;0,0;519122,8;0,0;33,5;29,6
15550,0;2850,0;4925,0;0,0;4925,0;2850,0;0,0;520656,2;0,0;33,5;29,5
15600,0;2850,0;4950,0;0,0;4950,0;2850,0;0,0;522189,8;0,0;33,5;29,4
15650,0;2850,0;4975,0;0,0;4975,0;2850,0;0,0;523723,3;0,0;33,5;29,3
15700,0;2850,0;5000,0;0,0;5000,0;2850,0;0,0;525257,0;0,0;33,5;29,1
15750,0;2850,0;5025,0;0,0;5025,0;2850,0;0,0;526790,7;0,0;33,4;29,0
15800,0;2850,0;5050,0;0,0;5050,0;2850,0;0,0;528323,7;0,0;33,4;28,9
15850,0;2850,0;5075,0;0,0;5075,0;2850,0;0,0;529856,7;0,0;33,4;28,8
15900,0;2850,0;5100,0;0,0;5100,0;2850,0;0,0;531389,8;0,0;33,4;28,6
15950,0;2850,0;5125,0;0,0;5125,0;2850,0;0,0;532922,9;0,0;33,4;28,5
16000,0;2850,0;5150,0;0,0;5150,0;2850,0;0,0;534456,1;0,0;33,4;28,4
16050,0;2850,0;5175,0;0,0;5175,0;2850,0;0,0;535989,4;0,0;33,4;28,3
16100,0;2850,0;5200,0;0,0;5200,0;2850,0;0,0;537522,7;0,0;33,4;28,2
16150,0;2850,0;5225,0;0,0;5225,0;2850,0;0,0;539056,1;0,0;33,4;28,1
16200,0;2850,0;5250,0;0,0;5250,0;2850,0;0,0;540589,5;0,0;33,4;27,9
16250,0;2850,0;5275,0;0,0;5275,0;2850,0;0,0;542123,0;0,0;33,4;27,8
16300,0;2850,0;5300,0;0,0;5300,0;2850,0;0,0;543656,5;0,0;33,4;27,7
16350,0;2850,0;5325,0;0,0;5325,0;2850,0;0,0;545190,1;0,0;33,3;27,6
16400,0;2850,0;5350,0;0,0;5350,0;2850,0;0,0;546723,4;0,0;33,3;27,5
16450,0;2850,0;5375,0;0,0;5375,0;2850,0;0,0;548256,2;0,0;33,3;27,4
16500,0;2850,0;5400,0;0,0;5400,0;2850,0;0,0;549789,1;0,0;33,3;27,3
