Kg_Fuel;Inner Tank LH X-arm;Inner Tank LH Y-arm;Moment_X_ILH;Moment_Y_ILH;Inner Tank RH X-arm;Inner Tank RH Y-arm;Moment_X_IRH;Moment_Y_IRH
1575;30,50393631;-3,357764331;48043,69968;-5288,478822;30,50393631;3,357764331;48043,69968;5288,478822
1600;30,50361783;-3,361585987;48805,78854;-5378,53758;30,50361783;3,361585987;48805,78854;5378,53758
1625;30,50329936;-3,365407643;49567,86146;-5468,78742;30,50329936;3,365407643;49567,86146;5468,78742
1650;30,50298089;-3,369229299;50329,91847;-5559,228344;30,50298089;3,369229299;50329,91847;5559,228344
1675;30,50266242;-3,373050955;51091,95955;-5649,86035;30,50266242;3,373050955;51091,95955;5649,86035
1700;30,50234395;-3,376872611;51853,98471;-5740,683439;30,50234395;3,376872611;51853,98471;5740,683439
1725;30,50202548;-3,380694268;52615,99395;-5831,697611;30,50202548;3,380694268;52615,99395;5831,697611
1750;30,50170701;-3,384515924;53377,98726;-5922,902866;30,50170701;3,384515924;53377,98726;5922,902866
1775;30,50138854;-3,38833758;54139,96465;-6014,299204;30,50138854;3,38833758;54139,96465;6014,299204
1800;30,50107006;-3,392159236;54901,92611;-6105,886624;30,50107006;3,392159236;54901,92611;6105,886624
1825;30,50075159;-3,395980892;55663,87166;-6197,665127;30,50075159;3,395980892;55663,87166;6197,665127
1850;30,50043312;-3,399802548;56425,80127;-6289,634713;30,50043312;3,399802548;56425,80127;6289,634713
1875;30,50011465;-3,403624204;57187,71497;-6381,795382;30,50011465;3,403624204;57187,71497;6381,795382
1900;30,50005096;-3,407496815;57950,09682;-6474,243949;30,50005096;3,407496815;57950,09682;6474,243949
1925;30,50013057;-3,411398089;58712,75135;-6566,941322;30,50013057;3,411398089;58712,75135;6566,941322
1950;30,50021019;-3,415299363;59475,40987;-6659,833758;30,50021019;3,415299363;59475,40987;6659,833758
1975;30,50028981;-3,419200637;60238,07237;-6752,921258;30,50028981;3,419200637;60238,07237;6752,921258
2000;30,50036943;-3,423101911;61000,73885;-6846,203822;30,50036943;3,423101911;61000,73885;6846,203822
2025;30,50044904;-3,427003185;61763,40932;-6939,681449;30,50044904;3,427003185;61763,40932;6939,681449
2050;30,50052866;-3,430904459;62526,08376;-7033,35414;30,50052866;3,430904459;62526,08376;7033,35414
2075;30,50060828;-3,434805732;63288,76218;-7127,221895;30,50060828;3,434805732;63288,76218;7127,221895
2100;30,5006879;-3,438707006;64051,44459;-7221,284713;30,5006879;3,438707006;64051,44459;7221,284713
2125;30,50076752;-3,44260828;64814,13097;-7315,542596;30,50076752;3,44260828;64814,13097;7315,542596
2150;30,50084713;-3,446509554;65576,82134;-7409,995541;30,50084713;3,446509554;65576,82134;7409,995541
2175;30,50092675;-3,450410828;66339,51568;-7504,643551;30,50092675;3,450410828;66339,51568;7504,643551
2200;30,50100637;-3,454248408;67102,21401;-7599,346497;30,50100637;3,454248408;67102,21401;7599,346497
2225;30,50108599;-3,457353503;67864,91632;-7692,611545;30,50108599;3,457353503;67864,91632;7692,611545
2250;30,50116561;-3,460458599;68627,62261;-7786,031847;30,50116561;3,460458599;68627,62261;7786,031847
2275;30,50124522;-3,463563694;69390,33288;-7879,607404;30,50124522;3,463563694;69390,33288;7879,607404
2300;30,50132484;-3,46666879;70153,04713;-7973,338217;30,50132484;3,46666879;70153,04713;7973,338217
2325;30,50140446;-3,469773885;70915,76537;-8067,224283;30,50140446;3,469773885;70915,76537;8067,224283
2350;30,50148408;-3,472878981;71678,48758;-8161,265605;30,50148408;3,472878981;71678,48758;8161,265605
2375;30,50156369;-3,475984076;72441,21377;-8255,462182;30,50156369;3,475984076;72441,21377;8255,462182
