Contour;Number ULD;ULD Final Destination;Weight (KGS);Pieces;Notes;Pallet Base Size;Baseplate Code;Posiciones Sugeridas;Posición Asignada;X-arm;Y-arm;Momento X;Momento Y;Bodega;Rotated
SBS;PMC41689QT;EZE;1616,0;19,0;ELI;96x125;M;['ABR', 'ABR', 'ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHR', 'FHR', 'FHL', 'FHL', 'HJR', 'HJR', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL', 'PRR', 'PRR', 'PRL', 'PRL', 'ABR', 'ABR', 'ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHL', 'FHL', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL'];CEL;22.636;-1.232;36579.776;-1990.912;MD;False
SBS;PMC41940QT;EZE;2182,0;12,0;0794 2PZ;96x125;M;['ABL', 'ABL', 'BCR', 'BCR', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHR', 'FHR', 'FHL', 'FHL', 'HJR', 'HJR', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL', 'PRR', 'PRR', 'PRL', 'PRL', 'ABL', 'ABL', 'BCR', 'BCR', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHL', 'FHL', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL'];MPR;41.864;1.232;91347.248;2688.224;MD;False
SBS;PMC42263QT;EZE;1590,0;11,0;ELI;96x125;M;['ABR', 'ABR', 'ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHR', 'FHR', 'FHL', 'FHL', 'HJR', 'HJR', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL', 'PRR', 'PRR', 'PRL', 'PRL', 'ABR', 'ABR', 'ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHL', 'FHL', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL'];PRL;45.09;-1.13;71693.1;-1796.7;MD;False
SBS;PMC42438QT;EZE;2662,0;6,0;ELI;96x125;M;['BCR', 'BCR', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHR', 'FHR', 'FHL', 'FHL', 'HJR', 'HJR', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'MPL', 'MPL', 'PRR', 'PRR', 'BCR', 'BCR', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHL', 'FHL', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'MPL', 'MPL'];MPL;41.864;-1.232;111441.968;-3279.584;MD;False
SBS;PMC42490QT;EZE;1732,0;8,0;RNG RCL;96x125;M;['AB', 'BC', 'CE', 'EF', 'FH', 'HJ', 'JK', 'KM', 'MP'];EF;25.836;0.0;44747.952;0.0;MD;False
SBS;PMC42577QT;MVD;1684,0;34,0;ELI;96x125;M;['ABR', 'ABR', 'ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHR', 'FHR', 'FHL', 'FHL', 'HJR', 'HJR', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL', 'PRR', 'PRR', 'PRL', 'PRL', 'ABR', 'ABR', 'ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHL', 'FHL', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL'];KML;38.638;-1.232;65066.392;-2074.688;MD;False
SBS;PMC42715QT;MVD;2456,0;34,0;ELI;96x125;M;['ABL', 'ABL', 'BCR', 'BCR', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHR', 'FHR', 'FHL', 'FHL', 'HJR', 'HJR', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPL', 'MPL', 'PRR', 'PRR', 'ABL', 'ABL', 'BCR', 'BCR', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHL', 'FHL', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPL', 'MPL'];FHR;29.037;1.232;71314.872;3025.792;MD;False
SBS;PMC42836QT;MVD;1920,0;49,0;ICE ELI;96x125;M;['ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHR', 'FHR', 'FHL', 'FHL', 'HJR', 'HJR', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL', 'PRR', 'PRR', 'PRL', 'PRL', 'ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHL', 'FHL', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL'];KMR;38.638;1.232;74184.96;2365.44;MD;False
SBS;PMC42892QT;MVD;500,0;1,0;;96x125;M;['ABR', 'ABR', 'ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHR', 'FHR', 'FHL', 'FHL', 'HJR', 'HJR', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL', 'PRR', 'PRR', 'PRL', 'PRL', 'ABR', 'ABR', 'ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHL', 'FHL', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL', '11L', '11R', '12L', '12R', '13L', '13R', '14L', '14R', '21L', '21R', '22L', '22R', '23L', '23R', '31L', '31R', '32L', '32R', '33L', '33R', '41L', '41R', '42L', '42R', '43L', '43R'];;;;;;;False
SBS;PMC43388QT;EZE;2022,0;12,0;ELI;96x125;M;['ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHR', 'FHR', 'FHL', 'FHL', 'HJR', 'HJR', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL', 'PRR', 'PRR', 'PRL', 'PRL', 'ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHL', 'FHL', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL'];FHL;29.037;-1.232;58712.814;-2491.104;MD;False
SBS;PMC43465QT;EZE;1200,0;12,0;PER ICE;96x125;M;['ABR', 'ABR', 'ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHR', 'FHR', 'FHL', 'FHL', 'HJR', 'HJR', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL', 'PRR', 'PRR', 'PRL', 'PRL', 'ABR', 'ABR', 'ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHL', 'FHL', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL', '11L', '11R', '12L', '12R', '13L', '13R', '14L', '14R', '21L', '21R', '22L', '22R', '23L', '23R', '31L', '31R', '32L', '32R', '33L', '33R', '41L', '41R', '42L', '42R', '43L', '43R'];BCL;19.436;-1.232;23323.2;-1478.4;MD;False
SBS;PMC43975QT;EZE;1308,0;4,0;HEMBRA DEL MACHO SIMPLE X IZQUIERDA ENTRA ULTIMO;96x125;M;['ABR', 'ABR', 'ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHR', 'FHR', 'FHL', 'FHL', 'HJR', 'HJR', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL', 'PRR', 'PRR', 'PRL', 'PRL', 'ABR', 'ABR', 'ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHL', 'FHL', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL', '11L', '11R', '12L', '12R', '13L', '13R', '14L', '14R', '21L', '21R', '22L', '22R', '23L', '23R', '31L', '31R', '32L', '32R', '33L', '33R', '41L', '41R', '42L', '42R', '43L', '43R'];14R;20.36;-0.806;26630.88;-1054.248;LDF;False
SBS;PMC44150QT;EZE;2106,0;18,0;0794 1PZ;96x125;M;['ABL', 'ABL', 'BCR', 'BCR', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHR', 'FHR', 'FHL', 'FHL', 'HJR', 'HJR', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL', 'PRR', 'PRR', 'PRL', 'PRL', 'ABL', 'ABL', 'BCR', 'BCR', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHL', 'FHL', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL'];HJR;32.237;1.232;67891.122;2594.592;MD;False
SS;PMC41347QT;EZE;1700,0;7,0;ELI;96x125;M;['SS'];SS;50.385;0.0;85654.5;0.0;MD;False
TT;PMC41138QT;EZE;1054,0;2,0;;96x125;M;['TT'];TT;52.849;0.0;55702.846;0.0;MD;False
;FlightWayKit;EZE;450,0;0,0;Flight Way Kit;FAK;FAK;['52', '53'];52;47.957;0.0;21580.65;0.0;BULK;False
