Kg_Fuel;Outer Tank LH X-arm;Outer Tank LH Y-arm;Moment_X_OLH;Moment_Y_OLH;Outer Tank RH X-arm;Outer Tank RH Y-arm;Moment_X_ORH;Moment_Y_ORH
25;37,4;18,001;935;450,025;37,4;-18,001;935;-450,025
50;37,4;18,001;1870;900,05;37,4;-18,001;1870;-900,05
75;37,4;18,001;2805;1350,075;37,4;-18,001;2805;-1350,075
100;37,4;18,001;3740;1800,1;37,4;-18,001;3740;-1800,1
125;37,4;18,001;4675;2250,125;37,4;-18,001;4675;-2250,125
150;37,4;18,001;5610;2700,15;37,4;-18,001;5610;-2700,15
175;37,4;18,001;6545;3150,175;37,4;-18,001;6545;-3150,175
200;37,4;18,001;7480;3600,2;37,4;-18,001;7480;-3600,2
225;37,4;18,001;8415;4050,225;37,4;-18,001;8415;-4050,225
250;37,4;18,001;9350;4500,25;37,4;-18,001;9350;-4500,25
275;37,4;18,001;10285;4950,275;37,4;-18,001;10285;-4950,275
300;37,4;18,001;11220;5400,3;37,4;-18,001;11220;-5400,3
325;37,4;18,001;12155;5850,325;37,4;-18,001;12155;-5850,325
350;37,4;18,001;13090;6300,35;37,4;-18,001;13090;-6300,35
375;37,4;18,001;14025;6750,375;37,4;-18,001;14025;-6750,375
400;37,4;18,001;14960;7200,4;37,4;-18,001;14960;-7200,4
425;37,4;18,001;15895;7650,425;37,4;-18,001;15895;-7650,425
450;37,4;18,001;16830;8100,45;37,4;-18,001;16830;-8100,45
475;37,4;18,001;17765;8550,475;37,4;-18,001;17765;-8550,475
500;37,4;18,001;18700;9000,5;37,4;-18,001;18700;-9000,5
525;37,4;18,001;19635;9450,525;37,4;-18,001;19635;-9450,525
550;37,4;18,001;20570;9900,55;37,4;-18,001;20570;-9900,55
575;37,4;18,001;21505;10350,575;37,4;-18,001;21505;-10350,575
600;37,4;18,001;22440;10800,6;37,4;-18,001;22440;-10800,6
625;37,4;18,001;23375;11250,625;37,4;-18,001;23375;-11250,625
650;37,4;18,001;24310;11700,65;37,4;-18,001;24310;-11700,65
675;37,4;18,001;25245;12150,675;37,4;-18,001;25245;-12150,675
700;37,4;18,001;26180;12600,7;37,4;-18,001;26180;-12600,7
725;37,4;18,001;27115;13050,725;37,4;-18,001;27115;-13050,725
750;37,4;18,001;28050;13500,75;37,4;-18,001;28050;-13500,75
775;37,4;18,001;28985;13950,775;37,4;-18,001;28985;-13950,775
800;37,4;18,001;29920;14400,8;37,4;-18,001;29920;-14400,8
825;37,4;18,001;30855;14850,825;37,4;-18,001;30855;-14850,825
850;37,4;18,001;31790;15300,85;37,4;-18,001;31790;-15300,85
875;37,4;18,001;32725;15750,875;37,4;-18,001;32725;-15750,875
900;37,4;18,001;33660;16200,9;37,4;-18,001;33660;-16200,9
925;37,4;18,001;34595;16650,925;37,4;-18,001;34595;-16650,925
950;37,4;18,001;35530;17100,95;37,4;-18,001;35530;-17100,95
975;37,4;18,001;36465;17550,975;37,4;-18,001;36465;-17550,975
1000;37,4;18,001;37400;18001;37,4;-18,001;37400;-18001
1025;37,4;18,001;38335;18451,025;37,4;-18,001;38335;-18451,025
1050;37,4;18,001;39270;18901,05;37,4;-18,001;39270;-18901,05
1075;37,4;18,001;40205;19351,075;37,4;-18,001;40205;-19351,075
1100;37,4;18,001;41140;19801,1;37,4;-18,001;41140;-19801,1
1125;37,4;18,001;42075;20251,125;37,4;-18,001;42075;-20251,125
1150;37,4;18,001;43010;20701,15;37,4;-18,001;43010;-20701,15
1175;37,4;18,001;43945;21151,175;37,4;-18,001;43945;-21151,175
1200;37,4;18,001;44880;21601,2;37,4;-18,001;44880;-21601,2
1225;37,4;18,001;45815;22051,225;37,4;-18,001;45815;-22051,225
1250;37,4;18,001;46750;22501,25;37,4;-18,001;46750;-22501,25
1275;37,4;18,001;47685;22951,275;37,4;-18,001;47685;-22951,275
1300;37,4;18,001;48620;23401,3;37,4;-18,001;48620;-23401,3
1325;37,4;18,001;49555;23851,325;37,4;-18,001;49555;-23851,325
1350;37,4;18,001;50490;24301,35;37,4;-18,001;50490;-24301,35
1375;37,4;18,001;51425;24751,375;37,4;-18,001;51425;-24751,375
