Kg_Fuel;Trim tank  X-arm;T_MOMENT_X
2390;59,089384;141223,6278
2400;59,0914;141819,36
2410;59,093424;142415,1518
2420;59,095456;143011,0035
2430;59,097496;143606,9153
2440;59,099544;144202,8874
2450;59,1016;144798,92
2460;59,103664;145395,0134
2470;59,105736;145991,1679
2480;59,107816;146587,3837
2490;59,109904;147183,661
2500;59,112;147780
2510;59,114104;148376,401
2520;59,116216;148972,8643
2530;59,118336;149569,3901
2540;59,120464;150165,9786
2550;59,1226;150762,63
2560;59,124744;151359,3446
2570;59,126896;151956,1227
2580;59,129056;152552,9645
2590;59,131224;153149,8702
2600;59,1334;153746,84
2610;59,135584;154343,8742
2620;59,137776;154940,9731
2630;59,139976;155538,1369
2640;59,142184;156135,3658
2650;59,1444;156732,66
2660;59,146624;157330,0198
2670;59,148856;157927,4455
2680;59,151096;158524,9373
2690;59,153344;159122,4954
2700;59,1556;159720,12
2710;59,157864;160317,8114
2720;59,160136;160915,5699
2730;59,162416;161513,3957
2740;59,164704;162111,289
2750;59,167;162709,25
2760;59,169304;163307,279
2770;59,171616;163905,3763
2780;59,173936;164503,5421
2790;59,176264;165101,7766
2800;59,1786;165700,08
2810;59,180944;166298,4526
2820;59,183296;166896,8947
2830;59,185656;167495,4065
2840;59,188024;168093,9882
2850;59,1904;168692,64
2860;59,192784;169291,3622
2870;59,195176;169890,1551
2880;59,197576;170489,0189
2890;59,199984;171087,9538
2900;59,2024;171686,96
2910;59,204824;172286,0378
2920;59,207256;172885,1875
2930;59,209696;173484,4093
2940;59,212144;174083,7034
2950;59,2146;174683,07
2960;59,217064;175282,5094
2970;59,219536;175882,0219
2980;59,222016;176481,6077
2990;59,224504;177081,267
3000;59,227;177681
3010;59,229504;178280,807
3020;59,232016;178880,6883
3030;59,234536;179480,6441
3040;59,237064;180080,6746
3050;59,2396;180680,78
3060;59,242144;181280,9606
3070;59,244696;181881,2167
3080;59,247256;182481,5485
3090;59,249824;183081,9562
3100;59,2524;183682,44
3110;59,254984;184283,0002
3120;59,257576;184883,6371
3130;59,260176;185484,3509
3140;59,262784;186085,1418
3150;59,2654;186686,01
3160;59,268024;187286,9558
3170;59,270656;187887,9795
3180;59,273296;188489,0813
3190;59,275944;189090,2614
3200;59,2786;189691,52
3210;59,281264;190292,8574
3220;59,283936;190894,2739
3230;59,286616;191495,7697
3240;59,289304;192097,345
3250;59,292;192699
3260;59,294704;193300,735
3270;59,297416;193902,5503
3280;59,300136;194504,4461
3290;59,302864;195106,4226
3300;59,3056;195708,48
3310;59,308344;196310,6186
3320;59,311096;196912,8387
3330;59,313856;197515,1405
3340;59,316624;198117,5242
3350;59,3194;198719,99
3360;59,322184;199322,5382
3370;59,324976;199925,1691
3380;59,327776;200527,8829
3390;59,330584;201130,6798
3400;59,3334;201733,56
3410;59,336224;202336,5238
3420;59,339056;202939,5715
3430;59,341896;203542,7033
3440;59,344744;204145,9194
3450;59,3476;204749,22
3460;59,350464;205352,6054
3470;59,353336;205956,0759
3480;59,356216;206559,6317
3490;59,359104;207163,273
3500;59,362;207767
3510;59,364904;208370,813
3520;59,367816;208974,7123
3530;59,370736;209578,6981
3540;59,373664;210182,7706
3550;59,3766;210786,93
3560;59,379544;211391,1766
3570;59,382496;211995,5107
3580;59,385456;212599,9325
3590;59,388424;213204,4422
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
3600;59,3914;213809,04
