Kg_Fuel;Inner Tank LH X-arm;Inner Tank LH Y-arm;Moment_X_ILH;Moment_Y_ILH;Inner Tank RH X-arm;Inner Tank RH Y-arm;Moment_X_IRH;Moment_Y_IRH
1575;30,57646125;3,53041125;48157,92647;5560,397719;30,57646125;-3,53041125;48157,92647;-5560,397719
1600;30,57612;3,53182;48921,792;5650,912;30,57612;-3,53182;48921,792;-5650,912
1625;30,57578125;3,53323125;49685,64453;5741,500781;30,57578125;-3,53323125;49685,64453;-5741,500781
1650;30,575445;3,534645;50449,48425;5832,16425;30,575445;-3,534645;50449,48425;-5832,16425
1675;30,57511125;3,53606125;51213,31134;5922,902594;30,57511125;-3,53606125;51213,31134;-5922,902594
1700;30,57478;3,53748;51977,126;6013,716;30,57478;-3,53748;51977,126;-6013,716
1725;30,57445125;3,53890125;52740,92841;6104,604656;30,57445125;-3,53890125;52740,92841;-6104,604656
1750;30,574125;3,540325;53504,71875;6195,56875;30,574125;-3,540325;53504,71875;-6195,56875
1775;30,57380125;3,54175125;54268,49722;6286,608469;30,57380125;-3,54175125;54268,49722;-6286,608469
1800;30,57348;3,54318;55032,264;6377,724;30,57348;-3,54318;55032,264;-6377,724
1825;30,57316125;3,54461125;55796,01928;6468,915531;30,57316125;-3,54461125;55796,01928;-6468,915531
1850;30,572845;3,546045;56559,76325;6560,18325;30,572845;-3,546045;56559,76325;-6560,18325
1875;30,57253125;3,54748125;57323,49609;6651,527344;30,57253125;-3,54748125;57323,49609;-6651,527344
1900;30,57222;3,54892;58087,218;6742,948;30,57222;-3,54892;58087,218;-6742,948
1925;30,57191125;3,55036125;58850,92916;6834,445406;30,57191125;-3,55036125;58850,92916;-6834,445406
1950;30,571605;3,551805;59614,62975;6926,01975;30,571605;-3,551805;59614,62975;-6926,01975
1975;30,57130125;3,55325125;60378,31997;7017,671219;30,57130125;-3,55325125;60378,31997;-7017,671219
2000;30,571;3,5547;61142;7109,4;30,571;-3,5547;61142;-7109,4
2025;30,57070125;3,55615125;61905,67003;7201,206281;30,57070125;-3,55615125;61905,67003;-7201,206281
2050;30,570405;3,557605;62669,33025;7293,09025;30,570405;-3,557605;62669,33025;-7293,09025
2075;30,57011125;3,55906125;63432,98084;7385,052094;30,57011125;-3,55906125;63432,98084;-7385,052094
2100;30,56982;3,56052;64196,622;7477,092;30,56982;-3,56052;64196,622;-7477,092
2125;30,56953125;3,56198125;64960,25391;7569,210156;30,56953125;-3,56198125;64960,25391;-7569,210156
2150;30,569245;3,563445;65723,87675;7661,40675;30,569245;-3,563445;65723,87675;-7661,40675
2175;30,56896125;3,56491125;66487,49072;7753,681969;30,56896125;-3,56491125;66487,49072;-7753,681969
2200;30,56868;3,56638;67251,096;7846,036;30,56868;-3,56638;67251,096;-7846,036
2225;30,56840125;3,56785125;68014,69278;7938,469031;30,56840125;-3,56785125;68014,69278;-7938,469031
2250;30,568125;3,569325;68778,28125;8030,98125;30,568125;-3,569325;68778,28125;-8030,98125
2275;30,56785125;3,57080125;69541,86159;8123,572844;30,56785125;-3,57080125;69541,86159;-8123,572844
2300;30,56758;3,57228;70305,434;8216,244;30,56758;-3,57228;70305,434;-8216,244
2325;30,56731125;3,57376125;71068,99866;8308,994906;30,56731125;-3,57376125;71068,99866;-8308,994906
2350;30,567045;3,575245;71832,55575;8401,82575;30,567045;-3,575245;71832,55575;-8401,82575
2375;30,56678125;3,57673125;72596,10547;8494,736719;30,56678125;-3,57673125;72596,10547;-8494,736719
2400;30,56652;3,57822;73359,648;8587,728;30,56652;-3,57822;73359,648;-8587,728
2425;30,56626125;3,57971125;74123,18353;8680,799781;30,56626125;-3,57971125;74123,18353;-8680,799781
2450;30,566005;3,581205;74886,71225;8773,95225;30,566005;-3,581205;74886,71225;-8773,95225
2475;30,56575125;3,58270125;75650,23434;8867,185594;30,56575125;-3,58270125;75650,23434;-8867,185594
2500;30,5655;3,5842;76413,75;8960,5;30,5655;-3,5842;76413,75;-8960,5
2525;30,56525125;3,58570125;77177,25941;9053,895656;30,56525125;-3,58570125;77177,25941;-9053,895656
2550;30,565005;3,587205;77940,76275;9147,37275;30,565005;-3,587205;77940,76275;-9147,37275
2575;30,56476125;3,58871125;78704,26022;9240,931469;30,56476125;-3,58871125;78704,26022;-9240,931469
2600;30,56452;3,59022;79467,752;9334,572;30,56452;-3,59022;79467,752;-9334,572
2625;30,56428125;3,59173125;80231,23828;9428,294531;30,56428125;-3,59173125;80231,23828;-9428,294531
2650;30,564045;3,593245;80994,71925;9522,09925;30,564045;-3,593245;80994,71925;-9522,09925
2675;30,56381125;3,59476125;81758,19509;9615,986344;30,56381125;-3,59476125;81758,19509;-9615,986344
2700;30,56358;3,59628;82521,666;9709,956;30,56358;-3,59628;82521,666;-9709,956
2725;30,56335125;3,59780125;83285,13216;9804,008406;30,56335125;-3,59780125;83285,13216;-9804,008406
2750;30,563125;3,599325;84048,59375;9898,14375;30,563125;-3,599325;84048,59375;-9898,14375
2775;30,56290125;3,60085125;84812,05097;9992,362219;30,56290125;-3,60085125;84812,05097;-9992,362219
2800;30,56268;3,60238;85575,504;10086,664;30,56268;-3,60238;85575,504;-10086,664
2825;30,56246125;3,60391125;86338,95303;10181,04928;30,56246125;-3,60391125;86338,95303;-10181,04928
2850;30,562245;3,605445;87102,39825;10275,51825;30,562245;-3,605445;87102,39825;-10275,51825
2875;30,56203125;3,60698125;87865,83984;10370,07109;30,56203125;-3,60698125;87865,83984;-10370,07109
2900;30,56182;3,60852;88629,278;10464,708;30,56182;-3,60852;88629,278;-10464,708
2925;30,56161125;3,61006125;89392,71291;10559,42916;30,56161125;-3,61006125;89392,71291;-10559,42916
2950;30,561405;3,611605;90156,14475;10654,23475;30,561405;-3,611605;90156,14475;-10654,23475
2975;30,56120125;3,61315125;90919,57372;10749,12497;30,56120125;-3,61315125;90919,57372;-10749,12497
3000;30,561;3,6147;91683;10844,1;30,561;-3,6147;91683;-10844,1
